ComponentFamily,VariantId,VariantName,LibraryName,InternalPadL,InternalPadR,TitleLeftPad,NaturalW,NaturalH,Note
Notes_BottomBar,BottomBar_Showcase_Notes_01,笔记_工具栏,业务组件库,,,,,,屏幕宽度：大于440的定宽344； / 小于440的铺满，左右padding 24
Notes_BottomBar,BottomBar_Showcase_Notes_02,笔记_工具栏,业务组件库,,,,,,屏幕宽度：大于440的定宽344； / 小于440的铺满，左右padding 24
Notes_BottomBar,BottomBar_Notes_Outline_00,笔记_工具栏,业务组件库,,,,,,
Notes_BottomBar,BottomBar_Notes_Outline_01,笔记_工具栏,业务组件库,,,,,,
Notes_BottomBar,BottomBar_Notes_Outline_02,笔记_工具栏,业务组件库,,,,,,
Notes_BottomBar,BottomBar_NoteEditPanel_00,笔记_工具栏,业务组件库,,,,,,
Notes_BottomBar,BottomBar_NoteEditPanel_01,笔记_工具栏,业务组件库,,,,,,内部工具条定宽 320
Notes_BottomBar,BottomBar_NoteEditPanel_02,笔记_工具栏,业务组件库,,,,,,
Notes_BottomBar,BottomBar_NoteEditPanel_03,笔记_工具栏,业务组件库,,,,,,
Notes_DetailTask,DetailTask_00,待办_待办详情_无,业务组件库,,,,,,
Notes_DetailTask,DetailTask_01,待办_待办详情,业务组件库,,,,,,
Notes_List,List_Task_01,待办_列表_套卡,业务组件库,12,12,,,,左12，右12
Notes_List,List_Task_02,待办_列表_套卡_编辑,业务组件库,12,12,,,,左12，右12
Notes_List,List_Task_03,待办_列表,业务组件库,12,12,,,,左12，右12
Notes_List,List_Task_04,待办_列表_编辑,业务组件库,12,12,,,,左12，右12
Notes_TaskWindow,NewTaskWindow_01,待办_新建,业务组件库,12,12,,,,最小宽度368 / 最大宽度411 / 左12，右12
Notes_TaskWindow,NewTaskWindow_02,待办_新建,业务组件库,,,,,,最小368，最大412
Recorder_Fab,Fab_Rec_01,录音_Fab,业务组件库,,,,,,
Calendar_TopBar,TopBar_Calendar_01,日历_顶部导航栏,业务组件库,16,12,,,,左16，右12
Calendar_TopBar,TopBar_Navigation_01,日历_顶部导航栏,业务组件库,16,16,,,,最小值 ：左16，右16
Calendar_NavigationBar,NavigationBar_ComponentSet_Calendar_01,日历_标题栏,业务组件库,16,12,,,,左16，右12
Calendar_NavigationBar,NavigationBar_ComponentSet_Calendar_01,日历_标题栏,业务组件库,,,,,,
Weather_NavigationBar,NavigationBar_ComponentSet_Weather_01,天气_标题栏,业务组件库,12,12,,,,左12，右12
Settings_NavigationBar,NavigationBar_ComponentSet_02,设置_标题栏,业务组件库,12,12,28,,,左12，右12 / 标题左侧：28
