应用,,PHONE,,FOLD,,,,,,,,PAD,,,,,,,,,,,,,,,
,,竖屏,横屏,外屏,,内屏 / 竖屏,,,内屏 / 横屏,,,竖屏,,,,,,,,横屏,,,,,,,
,,,,竖屏,横屏,NC,LC,C,NC,LC,C,NLC,NLC收起,NL,NL收起,NC,NC收起,LC,C,NLC,NLC收起,NL,NL收起,NC,NC收起,LC,C
下载管理 Downloads,"顶部导航栏 TopBar
侧边栏 Sidebar
底部导航栏 BottomBar",BottomBar_Showcase_01,,BottomBar_Showcase_01,,,,BottomBar_Showcase_01,,,BottomBar_Showcase_01,,,,,,,,TopBar_01,,,,,,,,TopBar_01
,标题栏 NavigationBar,NavigationBar_ComponentSet_01,,NavigationBar_ComponentSet_04,,,,NavigationBar_ComponentSet_04,,,NavigationBar_ComponentSet_04,,,,,,,,TopBar_01 标题栏,,,,,,,,TopBar_01 标题栏
