应用,,PHONE,,FOLD,,,,,,,,PAD,,,,,,,,,,,,,,,
,,竖屏,横屏,外屏,,内屏 / 竖屏,,,内屏 / 横屏,,,竖屏,,,,,,,,横屏,,,,,,,
,,,,竖屏,横屏,NC,LC,C,NC,LC,C,NLC,NLC收起,NL,NL收起,NC,NC收起,LC,C,NLC,NLC收起,NL,NL收起,NC,NC收起,LC,C
系统控件 SystemUIKIT,键盘 Keyboard,Keyboard_Phone_h_01,Keyboard_Phone_l_01,Keyboard_Fold_outside_h_01,Keyboard_Fold_outside_l_01,Keyboard_Fold_inside_h_01,,,Keyboard_Fold_inside_l_01,,,Keyboard_Pad_l_01,,,,,,,,Keyboard_Pad_h_01,,,,,,,
,状态栏 StatusBar,StatusBar_01,,StatusBar_01,,StatusBar_01,,,StatusBar_01,,,StatusBar_03,,,,,,,,StatusBar_03,,,,,,,
,控制杆 SwipeIndicator,SwipeIndicator_01,SwipeIndicator_02,SwipeIndicator_03,SwipeIndicator_04,SwipeIndicator_05,,,SwipeIndicator_06,,,SwipeIndicator_07,,,,,,,,SwipeIndicator_08,,,,,,,
