应用,,PHONE,,FOLD,,,,,,,,PAD,,,,,,,,,,,,,,,
,,竖屏,横屏,外屏,,内屏 / 竖屏,,,内屏 / 横屏,,,竖屏,,,,,,,,横屏,,,,,,,
,标题栏 NavigationBar / 思维导图 / C,NavigationBar_ComponentSet_Notes_02,,NavigationBar_ComponentSet_Notes_02,,,,NavigationBar_ComponentSet_Notes_02,,,NavigationBar_ComponentSet_Notes_02,,,,,,,,NavigationBar_ComponentSet_Notes_03,,,,,,,,NavigationBar_ComponentSet_Notes_03
,标题栏 NavigationBar / 详情 NoteDetail / NLC,NavigationBar_ComponentSet_11,,NavigationBar_ComponentSet_11,,,"L栏：
NavigationBar_ComponentSet_04

C栏：NavigationBar_ComponentSet_Notes_01",,,"L栏：
NavigationBar_ComponentSet_04

C栏：NavigationBar_ComponentSet_Notes_01",,"N栏：
NavigationBar_ComponentSet_12

L栏：
NavigationBar_ComponentSet_07

C栏：NavigationBar_ComponentSet_Notes_01","N栏：
NavigationBar_ComponentSet_00

L栏：
NavigationBar_ComponentSet_17

C栏：NavigationBar_ComponentSet_Notes_01",,,,,,,"N栏：
NavigationBar_ComponentSet_12

L栏：
NavigationBar_ComponentSet_07

C栏：NavigationBar_ComponentSet_Notes_01","N栏：
NavigationBar_ComponentSet_00

L栏：
NavigationBar_ComponentSet_17

C栏：NavigationBar_ComponentSet_Notes_01",,,,,,
,标题栏 NavigationBar / 编辑模式 Edit Mode / NLC,NavigationBar_ComponentSet_03,,NavigationBar_ComponentSet_06,,,"L栏：
NavigationBar_ComponentSet_06

C栏：
NavigationBar_ComponentSet_Notes_01",,,"L栏：
NavigationBar_ComponentSet_06

C栏：
NavigationBar_ComponentSet_Notes_01",,"N栏：
NavigationBar_ComponentSet_12

L栏：
NavigationBar_ComponentSet_09

C栏：
NavigationBar_ComponentSet_Notes_01","N栏：
NavigationBar_ComponentSet_00

L栏：
NavigationBar_ComponentSet_18

C栏：
NavigationBar_ComponentSet_Notes_01",,,,,,,"N栏：
NavigationBar_ComponentSet_12

L栏：
NavigationBar_ComponentSet_09

C栏：
NavigationBar_ComponentSet_Notes_01","N栏：
NavigationBar_ComponentSet_00

L栏：
NavigationBar_ComponentSet_18

C栏：
NavigationBar_ComponentSet_Notes_01",,,,,,
,标题栏 NavigationBar / 编辑模式 Edit Mode / NL,NavigationBar_ComponentSet_03,,NavigationBar_ComponentSet_06,,,,NavigationBar_ComponentSet_06,,,NavigationBar_ComponentSet_06,,,"N栏：
NavigationBar_ComponentSet_12

L栏：
NavigationBar_ComponentSet_00","N栏：
NavigationBar_ComponentSet_00

L栏：
NavigationBar_ComponentSet_00",,,,,,,"N栏：
NavigationBar_ComponentSet_12

L栏：
NavigationBar_ComponentSet_00","N栏：
NavigationBar_ComponentSet_00

L栏：
NavigationBar_ComponentSet_00",,,,
,标题栏 NavigationBar / 编辑模式 Edit Mode / LC,NavigationBar_ComponentSet_03,,NavigationBar_ComponentSet_06,,,"L栏：
NavigationBar_ComponentSet_06

C栏：
NavigationBar_ComponentSet_Notes_01",,,"L栏：
NavigationBar_ComponentSet_06

C栏：
NavigationBar_ComponentSet_Notes_01",,,,,,,,"L栏：
NavigationBar_ComponentSet_09

C栏：
NavigationBar_ComponentSet_Notes_01",,,,,,,,"L栏：
NavigationBar_ComponentSet_09

C栏：
NavigationBar_ComponentSet_Notes_01",
,标题栏 NavigationBar / 思维导图编辑 MindMap_Edit / C,NavigationBar_ComponentSet_Notes_02,,NavigationBar_ComponentSet_Notes_02,,,,C栏：NavigationBar_ComponentSet_Notes_02,,,C栏：NavigationBar_ComponentSet_Notes_02,,,,,,,,NavigationBar_ComponentSet_Notes_03,,,,,,,,NavigationBar_ComponentSet_Notes_03
,标题栏 NavigationBar / 私密笔记 / LC,NavigationBar_ComponentSet_02,,NavigationBar_ComponentSet_02,,,"L栏：
NavigationBar_ComponentSet_05

C栏：NavigationBar_ComponentSet_Notes_01",,,"L栏：
NavigationBar_ComponentSet_05

C栏：NavigationBar_ComponentSet_Notes_01",,,,,,,,"L栏：
NavigationBar_ComponentSet_08

C栏：NavigationBar_ComponentSet_Notes_00",,,,,,,,"L栏：
NavigationBar_ComponentSet_08

C栏：NavigationBar_ComponentSet_Notes_00",
,搜索栏 SearchBar / NLC,SearchBar_ComponentSet_05,,SearchBar_ComponentSet_05,,,"L栏：
SearchBar_ComponentSet_05",,,"L栏：
SearchBar_ComponentSet_05",,"L栏：
SearchBar_ComponentSet_05","L栏：
SearchBar_ComponentSet_05",,,,,,,"L栏：
SearchBar_ComponentSet_05","L栏：
SearchBar_ComponentSet_05",,,,,,
,搜索栏 SearchBar / NL,SearchBar_ComponentSet_05,,SearchBar_ComponentSet_05,,,,SearchBar_ComponentSet_05,,,SearchBar_ComponentSet_05,,,"L栏：
TopBar_03","L栏：
TopBar_07",,,,,,,"L栏：
TopBar_03","L栏：
TopBar_07",,,,
,搜索栏 SearchBar / LC,SearchBar_ComponentSet_02,,SearchBar_ComponentSet_02,,,"L栏：
SearchBar_ComponentSet_02",, ,"L栏：
SearchBar_ComponentSet_02",,,,,,,,"L栏：
SearchBar_ComponentSet_02",,,,,,,,"L栏：
SearchBar_ComponentSet_02",
,搜索栏 SearchBar / 编辑模式 Edit Mode / NL,SearchBar_ComponentSet_05,,SearchBar_ComponentSet_05,,,SearchBar_ComponentSet_05,,,SearchBar_ComponentSet_05,,,,"L栏：
TopBar_09","L栏：
TopBar_08",,,,,,,"L栏：
TopBar_09","L栏：
TopBar_08",,,,
,搜索页面 / NLC,"SearchBar_ComponentSet_01,

SearchReceiving_00",,"SearchBar_ComponentSet_01,

SearchReceiving_00",,,"L栏：
SearchBar_ComponentSet_01,

SearchReceiving_00",,,"L栏：
SearchBar_ComponentSet_01,

SearchReceiving_00",,"L栏：
SearchBar_ComponentSet_01,

SearchReceiving_00","L栏：
SearchBar_ComponentSet_01,

SearchReceiving_00",,,,,,,"L栏：
SearchBar_ComponentSet_01,

SearchReceiving_00","L栏：
SearchBar_ComponentSet_01,

SearchReceiving_00",,,,,,
,搜索页面 / NL,"SearchBar_ComponentSet_01,

SearchReceiving_00",,"SearchBar_ComponentSet_01,

SearchReceiving_00",,,"L栏：
SearchBar_ComponentSet_01,

SearchReceiving_00",,,"L栏：
SearchBar_ComponentSet_01,

SearchReceiving_00",,,,"C栏：
SearchBar_ComponentSet_04,

SearchReceiving_01","C栏：
SearchBar_ComponentSet_04,

SearchReceiving_01",,,,,,,"C栏：
SearchBar_ComponentSet_04,

SearchReceiving_01","C栏：
SearchBar_ComponentSet_04,

SearchReceiving_01",,,,
,搜索页面 / LC,"SearchBar_ComponentSet_01,

SearchReceiving_00",,"SearchBar_ComponentSet_01,

SearchReceiving_00",,,"L栏：
SearchBar_ComponentSet_01,

SearchReceiving_00",,,"L栏：
SearchBar_ComponentSet_01,

SearchReceiving_00",,,,,,,,"L栏：
SearchBar_ComponentSet_01,

SearchReceiving_00",,,,,,,,"L栏：
SearchBar_ComponentSet_01,

SearchReceiving_00",
,信息提示 NoticeBar / NLC,NoticeBar_ComponentSet_01,,NoticeBar_ComponentSet_01,,,"L栏：
NoticeBar_ComponentSet_01",,,"L栏：
NoticeBar_ComponentSet_01",,"L栏：
NoticeBar_ComponentSet_01","L栏：
NoticeBar_ComponentSet_01",,,,,,,"L栏：
NoticeBar_ComponentSet_01","L栏：
NoticeBar_ComponentSet_01",,,,,,
,信息提示 NoticeBar / NL,NoticeBar_ComponentSet_01,,NoticeBar_ComponentSet_01,,,,NoticeBar_ComponentSet_01,,,NoticeBar_ComponentSet_01,,,"L栏：
NoticeBar_ComponentSet_01","L栏：
NoticeBar_ComponentSet_01",,,,,,,"C栏：
NoticeBar_ComponentSet_01","C栏：
NoticeBar_ComponentSet_01",,,,
,标签栏 SelectableChip / NLC,SelectableChip_ComponentSet_Notes_01,,SelectableChip_ComponentSet_Notes_01,,,"L栏：
SelectableChip_ComponentSet_Notes_02",,,"L栏：
SelectableChip_ComponentSet_Notes_02",,"L栏：
SelectableChip_ComponentSet_Notes_00","L栏：
SelectableChip_ComponentSet_Notes_00",,,,,,,"L栏：
SelectableChip_ComponentSet_Notes_00","L栏：
SelectableChip_ComponentSet_Notes_00",,,,,,
,标签栏 SelectableChip / NL,SelectableChip_ComponentSet_Notes_01,,SelectableChip_ComponentSet_Notes_01,,,,SelectableChip_ComponentSet_Notes_01,,,SelectableChip_ComponentSet_Notes_01,,,"L栏：
SelectableChip_ComponentSet_Notes_00","L栏：
SelectableChip_ComponentSet_Notes_00",,,,,,,"L栏：
SelectableChip_ComponentSet_Notes_00","L栏：
SelectableChip_ComponentSet_Notes_00",,,,
,列表 List / NLC,List_Notes_01,,List_Notes_01,,,"L栏：
List_Notes_03",,,"L栏：
List_Notes_03",,"L栏：
List_Notes_03","L栏：
List_Notes_03",,,,,,,"L栏：
List_Notes_03","L栏：
List_Notes_03",,,,,,
,列表 List  / NL,List_Notes_05,,List_Notes_07,,,,List_Notes_09,,,List_Notes_11,,,"L栏：
List_Notes_13","L栏：
List_Notes_15",,,,,,,"L栏：
List_Notes_17","L栏：
List_Notes_19",,,,
