应用,,PHONE,,FOLD,,,,,,,,PAD,,,,,,,,,,,,,,,
,,竖屏,横屏,外屏,,内屏 / 竖屏,,,内屏 / 横屏,,,竖屏,,,,,,,,横屏,,,,,,,
,,,,竖屏,横屏,NC,LC,C,NC,LC,C,NLC,NLC收起,NL,NL收起,NC,NC收起,LC,C,NLC,NLC收起,NL,NL收起,NC,NC收起,LC,C
录音 Recorder,"顶部导航栏 TopBar
侧边栏 Sidebar
底部导航栏 BottomBar",无导航栏,,无导航栏,,,L栏：Sidebar_Component_Fold_LC_Fab_01,,,"L栏：
Sidebar_Component_Fold_LC_Fab_01",,,,,,,,"L栏：
Sidebar_Component_PAD_LC_Fab_01",,,,,,,,"L栏：
Sidebar_Component_PAD_LC_Fab_01",
,标题栏 NavigationBar,NavigationBar_ComponentSet_01,,NavigationBar_ComponentSet_04,,,"L栏：
NavigationBar_ComponentSet_04

C栏：
NavigationBar_ComponentSet_04",,,"L栏：
NavigationBar_ComponentSet_04

C栏：
NavigationBar_ComponentSet_04",,,,,,,,"L栏：
NavigationBar_ComponentSet_01


C栏
NavigationBar_ComponentSet_07",,,,,,,,"L栏：
NavigationBar_ComponentSet_01


C栏
NavigationBar_ComponentSet_07",
,标签栏 SelectableChip,SelectableChip_ComponentSet_01,,SelectableChip_ComponentSet_01,,,SelectableChip_ComponentSet_01,,,SelectableChip_ComponentSet_01,,,,,,,,"L栏：
SelectableChip_ComponentSet_01",,,,,,,,"L栏：
SelectableChip_ComponentSet_01",
,Fab,Fab_Rec_01：彩色,,Fab_Rec_01：彩色,,,"L栏：
Fab_Rec_01：彩色",,,"L栏：
Fab_Rec_01：彩色",,,,,,,,"L栏：
Fab_Rec_01：彩色",,,,,,,,"L栏：
Fab_Rec_01：彩色",
