应用,,PHONE,,FOLD,,,,,,,,PAD,,,,,,,,,,,,,,,
,,竖屏,横屏,外屏,,内屏 / 竖屏,,,内屏 / 横屏,,,竖屏,,,,,,,,横屏,,,,,,,
,,,,竖屏,横屏,NC,LC,C,NC,LC,C,NLC,NLC收起,NL,NL收起,NC,NC收起,LC,C,NLC,NLC收起,NL,NL收起,NC,NC收起,LC,C
手机管家 Security,"顶部导航栏 TopBar
侧边栏 Sidebar
底部导航栏 BottomBar",无导航栏,,无导航栏,,,,无导航栏,,,无导航栏,,,,,,,,无导航栏,,,,,,,,无导航栏
,标题栏 NavigationBar,NavigationBar_ComponentSet_10,,NavigationBar_ComponentSet_15,,,,NavigationBar_ComponentSet_15,,,NavigationBar_ComponentSet_15,,,,,,,,NavigationBar_ComponentSet_10,,,,,,,,NavigationBar_ComponentSet_10
